Nyårsdagen,1/1,Ja
Svea,2/1,Ja
Alfrida,3/1,Ja
Alfred,3/1,Ja
Rut,4/1,Ja
Hanna,5/1,Ja
Hannele,5/1,Ja
Hanne,5/1,Nej
Hanny,5/1,Nej
Melker,6/1,Ja
Melchior,6/1,Nej
Caspar,6/1,Nej
Trettondedag jul,6/1,Ja
Baltsar,6/1,Ja
Kasper,6/1,Ja
Gusti,7/1,Nej
Gusten,7/1,Nej
Augustinus,7/1,Nej
Agge,7/1,Nej
Age,7/1,Nej
Augusta,7/1,Ja
August,7/1,Ja
Augustin,7/1,Nej
Erland,8/1,Ja
Gunnar,9/1,Ja
Gunder,9/1,Ja
Gunde,9/1,Nej
Günther,9/1,Nej
Sigurd,10/1,Ja
Sigge,10/1,Nej
Sigbritt,10/1,Ja
Janne,11/1,Nej
Jannika,11/1,Nej
Jannike,11/1,Ja
Jan,11/1,Ja
Frideborg,12/1,Ja
Frideborg,12/1,Ja
Tjugondedag jul,13/1,Ja
Knut,13/1,Ja
Felicia,14/1,Ja
Felix,14/1,Ja
Laurentia,15/1,Nej
Lawrence,15/1,Nej
Laura,15/1,Ja
Lalla,15/1,Nej
Lauritz,15/1,Nej
Lorentz,15/1,Ja
Laurina,15/1,Nej
Laurens,15/1,Nej
Larry,15/1,Nej
Lauri,15/1,Nej
Laurentius,15/1,Nej
Hjalmar,16/1,Ja
Helmer,16/1,Ja
Tönnes,17/1,Nej
Antonio,17/1,Nej
Anton,17/1,Ja
Antoni,17/1,Nej
Antonius,17/1,Nej
Tony,17/1,Ja
Anthony,17/1,Nej
Hilda,18/1,Ja
Hildur,18/1,Ja
Hilde,18/1,Nej
Enrique,19/1,Nej
Heinz,19/1,Nej
Heine,19/1,Nej
Heikki,19/1,Nej
Henri,19/1,Nej
Henrik,19/1,Ja
Heinrich,19/1,Nej
Henry,19/1,Nej
Fabian,20/1,Ja
Sebastian,20/1,Ja
Agnes,21/1,Ja
Agna,21/1,Nej
Agnete,21/1,Nej
Agneta,21/1,Ja
Neta,21/1,Nej
Viktor,22/1,Ja
Vincent,22/1,Ja
Freja,23/1,Ja
Frej,23/1,Ja
Erika,24/1,Ja
Paul,25/1,Ja
Pablo,25/1,Nej
Paavo,25/1,Nej
Pål,25/1,Ja
Pauli,25/1,Nej
Palle,25/1,Nej
Pavel,25/1,Nej
Paulus,25/1,Nej
Poul,25/1,Nej
Bolla,26/1,Nej
Botilda,26/1,Nej
Bodil,26/1,Ja
Boel,26/1,Ja
Göta,27/1,Ja
Göte,27/1,Ja
Götilda,27/1,Nej
Karl,28/1,Ja
Carlo,28/1,Nej
Carlos,28/1,Nej
Karla,28/1,Ja
Charles,28/1,Nej
Carol,28/1,Nej
Kaarlo,28/1,Nej
Charlie,28/1,Nej
Charlie,28/1,Nej
Kaarlo,28/1,Nej
Diana,29/1,Ja
Diane,29/1,Nej
Gunilla,30/1,Ja
Gunhild,30/1,Ja
Gulla,30/1,Nej
Gulli,30/1,Nej
Gullan,30/1,Nej
Gully,30/1,Nej
Gullie,30/1,Nej
Gunnela,30/1,Nej
Gundel,30/1,Nej
Gunnil,30/1,Nej
Gunnie,30/1,Nej
Gunni,30/1,Nej
Gunny,30/1,Nej
Gunnila,30/1,Nej
Ivar,31/1,Ja
Joar,31/1,Ja
Max,1/2,Ja
Maximilian,1/2,Ja
Kyndelsmässodagen,2/2,Ja
Disa,3/2,Ja
Hjördis,3/2,Ja
Selm,4/2,Nej
Selmer,4/2,Nej
Ansgar,4/2,Ja
Ansgarius,4/2,Nej
Anselm,4/2,Ja
Agata,5/2,Ja
Agda,5/2,Ja
Agaton,5/2,Nej
Ågot,5/2,Nej
Doris,6/2,Ja
Dorotea,6/2,Ja
Dorthy,6/2,Nej
Dorotea,6/2,Ja
Doris,6/2,Ja
Dolly,6/2,Nej
Dordi,6/2,Nej
Dora,6/2,Nej
Dorit,6/2,Nej
Ricky,7/2,Nej
Dick,7/2,Ja
Rikard,7/2,Ja
Bert,8/2,Ja
Bertina,8/2,Nej
Berta,8/2,Ja
Fanny,9/2,Ja
Franciska,9/2,Ja
Francesca,9/2,Nej
Iris,10/2,Ja
Yngve,11/2,Ja
Ingo,11/2,Nej
Inge,11/2,Ja
Evelina,12/2,Ja
Eveline,12/2,Nej
Evy,12/2,Ja
Evelyn,12/2,Nej
Evelin,12/2,Nej
Ove,13/2,Ja
Agne,13/2,Ja
Valentina,14/2,Nej
Valentin,14/2,Ja
Vally,14/2,Nej
Sigfrid,15/2,Ja
Julia,16/2,Ja
Juliana,16/2,Nej
Jill,16/2,Nej
Julie,16/2,Nej
Julius,16/2,Ja
Juliette,16/2,Nej
Julio,16/2,Nej
Alejandra,17/2,Nej
Alli,17/2,Nej
Alla,17/2,Nej
Allie,17/2,Nej
Ally,17/2,Nej
Sandra,17/2,Ja
Alexandra,17/2,Ja
Frida,18/2,Ja
Fritiof,18/2,Ja
Elfriede,18/2,Nej
Elfrida,18/2,Nej
Gabrielle,19/2,Nej
Gabriella,19/2,Ja
Ella,19/2,Ja
Gaby,19/2,Nej
Viviana,20/2,Nej
Vivianne,20/2,Ja
Hilding,21/2,Ja
Pia,22/2,Ja
Torun,23/2,Ja
Torsten,23/2,Ja
Mats,24/2,Ja
Mattias,24/2,Ja
Matti,24/2,Nej
Mattis,24/2,Nej
Sivert,25/2,Ja
Sivar,25/2,Nej
Sigvard,25/2,Ja
Sivard,25/2,Nej
Torkel,26/2,Ja
Torgny,26/2,Ja
Lave,27/2,Nej
Lago,27/2,Nej
Lage,27/2,Ja
Mirja,28/2,Nej
Marjatta,28/2,Nej
Marion,28/2,Nej
Mariette,28/2,Nej
Mimmie,28/2,Nej
Marja,28/2,Nej
Mary,28/2,Nej
Maryam,28/2,Nej
Maria,28/2,Ja
Mia,28/2,Nej
Maisie,28/2,Nej
Maja,28/2,Nej
Majli,28/2,Nej
Manja,28/2,Nej
Marjo,28/2,Nej
Mari,28/2,Nej
Mariella,28/2,Nej
Marietta,28/2,Nej
Mimmi,28/2,Nej
Marielle,28/2,Nej
Skottdagen,29/2,Ja
Alvin,1/3,Nej
Elvie,1/3,Nej
Elvira,1/3,Ja
Albin,1/3,Ja
Elva,1/3,Nej
Elvi,1/3,Nej
Elvy,1/3,Nej
Ernesto,2/3,Nej
Erna,2/3,Ja
Ernst,2/3,Ja
Gunborg,3/3,Ja
Gunda,3/3,Nej
Gunvor,3/3,Ja
Adrian,4/3,Ja
Adriana,4/3,Ja
Adrienne,4/3,Nej
Tove,5/3,Ja
Tora,5/3,Ja
Tuve,5/3,Nej
Tova,5/3,Nej
Ebbe,6/3,Ja
Ebba,6/3,Ja
Camilla,7/3,Ja
Saga,8/3,Ja
Siv,8/3,Ja
Torleif,9/3,Ja
Torben,9/3,Nej
Torbjörn,9/3,Ja
Edla,10/3,Ja
Ada,10/3,Ja
Ethel,10/3,Nej
Egon,11/3,Ja
Edvin,11/3,Ja
Viktoria,12/3,Ja
Vicky,12/3,Nej
Tori,12/3,Nej
Gregor,13/3,Nej
Grels,13/3,Nej
Greger,13/3,Ja
Gregorius,13/3,Nej
Reijo,13/3,Nej
Matilde,14/3,Nej
Maud,14/3,Ja
Milda,14/3,Nej
Tilda,14/3,Nej
Tilde,14/3,Nej
Tilly,14/3,Nej
Matty,14/3,Nej
Matilda,14/3,Ja
Kristoffer,15/3,Ja
Chris,15/3,Nej
Chris,15/3,Nej
Herbert,16/3,Ja
Gilbert,16/3,Ja
Gertrud,17/3,Ja
Gerti,17/3,Nej
Gertie,17/3,Nej
Gerty,17/3,Nej
Kerttu,17/3,Nej
Trude,17/3,Nej
Edvard,18/3,Ja
Edmund,18/3,Ja
Edde,18/3,Nej
Eddie,18/3,Nej
Eduardo,18/3,Nej
Eddy,18/3,Nej
Josef,19/3,Ja
Josefina,19/3,Ja
Giuseppe,19/3,Nej
José,19/3,Nej
Josefin,19/3,Nej
Josefine,19/3,Nej
Joakim,20/3,Ja
Kim,20/3,Ja
Jockum,20/3,Nej
Bengt,21/3,Ja
Benedikt,21/3,Nej
Bengta,21/3,Nej
Benita,21/3,Nej
Bent,21/3,Nej
Pentti,21/3,Nej
Kennet,22/3,Ja
Kent,22/3,Ja
Ken,22/3,Nej
Kennie,22/3,Nej
Kenny,22/3,Nej
Gerda,23/3,Ja
Gerd,23/3,Ja
Gabriel,24/3,Ja
Rafael,24/3,Ja
Marie Bebådelsedag,25/3,Ja
Emanuel,26/3,Ja
Immanuel,26/3,Nej
Manne,26/3,Nej
Manuel,26/3,Nej
Manuela,26/3,Nej
Rudolf,27/3,Ja
Ralf,27/3,Ja
Malkolm,28/3,Ja
Morgan,28/3,Ja
Jonas,29/3,Ja
Jens,29/3,Ja
Holger,30/3,Ja
Holmfrid,30/3,Ja
Ester,31/3,Ja
Essie,31/3,Nej
Essy,31/3,Nej
Harald,1/4,Ja
Hervor,1/4,Ja
Harold,1/4,Nej
Gudmund,2/4,Ja
Ingemund,2/4,Ja
Ingeman,2/4,Nej
Ferdinand,3/4,Ja
Nanna,3/4,Ja
Fernando,3/4,Nej
Hernan,3/4,Nej
Marianne,4/4,Ja
Marlene,4/4,Ja
Marlen,4/4,Nej
Irene,5/4,Ja
Irja,5/4,Ja
Iren,5/4,Nej
Irena,5/4,Nej
Irina,5/4,Nej
Vilhelm,6/4,Ja
William,6/4,Ja
Bill,6/4,Nej
Billy,6/4,Nej
Guillermo,6/4,Nej
Viljo,6/4,Nej
Ville,6/4,Nej
Willi,6/4,Nej
Villy,6/4,Nej
Irma,7/4,Ja
Irmelin,7/4,Ja
Irmgard,7/4,Nej
Irmeli,7/4,Nej
Nadja,8/4,Ja
Tanja,8/4,Ja
Tatjana,8/4,Nej
Otto,9/4,Ja
Ottilia,9/4,Ja
Otelia,9/4,Nej
Otti,9/4,Nej
Ingvar,10/4,Ja
Ingvor,10/4,Ja
Igor,10/4,Nej
Yngvar,10/4,Nej
Ingar,10/4,Nej
Ulf,11/4,Ja
Ylva,11/4,Ja
Wolf,11/4,Nej
Liv,12/4,Ja
Artur,13/4,Ja
Douglas,13/4,Ja
Arto,13/4,Nej
Tiburtius,14/4,Ja
Olivia,15/4,Ja
Oliver,15/4,Ja
Olly,15/4,Nej
Viva,15/4,Nej
Patrik,16/4,Ja
Patricia,16/4,Ja
Elias,17/4,Ja
Elis,17/4,Ja
Ellis,17/4,Nej
Valdemar,18/4,Ja
Volmar,18/4,Ja
Valde,18/4,Nej
Valle,18/4,Nej
Vladimir,18/4,Nej
Volmer,18/4,Nej
Olaus,19/4,Ja
Ola,19/4,Ja
Olavus,19/4,Nej
Amalia,20/4,Ja
Amelie,20/4,Ja
Amalie,20/4,Nej
Amelia,20/4,Nej
Emelia,20/4,Nej
Emelie,20/4,Nej
Anneli,21/4,Ja
Annika,21/4,Ja
Annelie,21/4,Nej
Allan,22/4,Ja
Glenn,22/4,Ja
Georg,23/4,Ja
Göran,23/4,Ja
George,23/4,Nej
Georges,23/4,Nej
Georgina,23/4,Nej
Georgios,23/4,Nej
Georgius,23/4,Nej
György,23/4,Nej
Jorge,23/4,Nej
Yrjö,23/4,Nej
Gina,23/4,Nej
Vega,24/4,Ja
Markus,25/4,Ja
Marco,25/4,Nej
Mark,25/4,Nej
Markku,25/4,Nej
Teresia,26/4,Ja
Terese,26/4,Ja
Teresa,26/4,Nej
Engelbrekt,27/4,Ja
Ingbert,27/4,Nej
Ture,28/4,Ja
Tyra,28/4,Ja
Tyko,29/4,Ja
Mariana,30/4,Ja
Valborg,1/5,Ja
Filip,2/5,Ja
Filippa,2/5,Ja
Felipe,2/5,Nej
John,3/5,Ja
Jane,3/5,Ja
Ian,3/5,Nej
Monika,4/5,Ja
Mona,4/5,Ja
Monique,4/5,Nej
Gotthard,5/5,Ja
Erhard,5/5,Ja
Marit,6/5,Ja
Rita,6/5,Ja
Carina,7/5,Ja
Carita,7/5,Ja
Carine,7/5,Nej
Åke,8/5,Ja
Åge,8/5,Nej
Reidar,9/5,Ja
Reidun,9/5,Ja
Esbjörn,10/5,Ja
Styrbjörn,10/5,Ja
Asbjörn,10/5,Nej
Märta,11/5,Ja
Märit,11/5,Ja
Merete,11/5,Nej
Merit,11/5,Nej
Märet,11/5,Nej
Charlotta,12/5,Ja
Lotta,12/5,Ja
Charlott,12/5,Nej
Charlotte,12/5,Nej
Lotte,12/5,Nej
Lotten,12/5,Nej
Lottie,12/5,Nej
Linnea,13/5,Ja
Linn,13/5,Ja
Nea,13/5,Nej
Ninni,13/5,Nej
Ninnie,13/5,Nej
Halvard,14/5,Ja
Halvar,14/5,Ja
Halvor,14/5,Nej
Sofia,15/5,Ja
Sonja,15/5,Ja
Sofi,15/5,Nej
Sofie,15/5,Nej
Ronald,16/5,Ja
Ronny,16/5,Ja
Ronnie,16/5,Nej
Rebecka,17/5,Ja
Ruben,17/5,Ja
Erik,18/5,Ja
Eero,18/5,Nej
Erkki,18/5,Nej
Jerk,18/5,Nej
Jerker,18/5,Nej
Maj,19/5,Ja
Majken,19/5,Ja
May,19/5,Nej
Karolina,20/5,Ja
Carola,20/5,Ja
Calla,20/5,Nej
Caroline,20/5,Nej
Karolin,20/5,Nej
Lina,20/5,Nej
Line,20/5,Nej
Carole,20/5,Nej
Konstantin,21/5,Ja
Conny,21/5,Ja
Connie,21/5,Nej
Constance,21/5,Nej
Konstantia,21/5,Nej
Hemming,22/5,Ja
Henning,22/5,Ja
Desideria,23/5,Ja
Desirée,23/5,Ja
Ivan,24/5,Ja
Vanja,24/5,Ja
Urban,25/5,Ja
Vilhelmina,26/5,Ja
Vilma,26/5,Ja
Helma,26/5,Nej
Helmina,26/5,Nej
Hilma,26/5,Nej
Mina,26/5,Nej
Minna,26/5,Nej
Minnie,26/5,Nej
Helmi,26/5,Nej
Beda,27/5,Ja
Blenda,27/5,Ja
Ingeborg,28/5,Ja
Borghild,28/5,Ja
Bojan,28/5,Nej
Yvonne,29/5,Ja
Jeanette,29/5,Ja
Yvette,29/5,Nej
Vera,30/5,Ja
Veronika,30/5,Ja
Petronella,31/5,Ja
Pernilla,31/5,Ja
Pernille,31/5,Nej
Nilla,31/5,Nej
Gun,1/6,Ja
Gunnel,1/6,Ja
Rutger,2/6,Ja
Roger,2/6,Ja
Ingemar,3/6,Ja
Gudmar,3/6,Ja
Ingmar,3/6,Nej
Solbritt,4/6,Ja
Solveig,4/6,Ja
Solvig,4/6,Nej
Bo,5/6,Ja
Bonde,5/6,Nej
Bosse,5/6,Nej
Gustav,6/6,Ja
Gösta,6/6,Ja
Gustava,6/6,Nej
Robert,7/6,Ja
Robin,7/6,Ja
Bob,7/6,Nej
Bobby,7/6,Nej
Roberto,7/6,Nej
Rupert,7/6,Nej
Eivor,8/6,Ja
Majvor,8/6,Ja
Börje,9/6,Ja
Birger,9/6,Ja
Svante,10/6,Ja
Boris,10/6,Ja
Bertil,11/6,Ja
Berthold,11/6,Ja
Bertel,11/6,Nej
Pertti,11/6,Nej
Barthold,11/6,Nej
Eskil,12/6,Ja
Esko,12/6,Nej
Aina,13/6,Ja
Aino,13/6,Ja
Aini,13/6,Nej
Håkan,14/6,Ja
Hakon,14/6,Ja
Hakvin,14/6,Nej
Håkon,14/6,Nej
Margit,15/6,Ja
Margot,15/6,Ja
Axel,16/6,Ja
Axelina,16/6,Ja
Acke,16/6,Nej
Axelia,16/6,Nej
Torborg,17/6,Ja
Torvald,17/6,Ja
Björn,18/6,Ja
Bjarne,18/6,Ja
Björne,18/6,Nej
Björner,18/6,Nej
Germund,19/6,Ja
Görel,19/6,Ja
Linda,20/6,Ja
Belinda,20/6,Nej
Alf,21/6,Ja
Alvar,21/6,Ja
Alve,21/6,Nej
Paulina,22/6,Ja
Paula,22/6,Ja
Pauline,22/6,Nej
Paulinus,22/6,Nej
Adolf,23/6,Ja
Alice,23/6,Ja
Adolfina,23/6,Nej
Alef,23/6,Nej
Alicia,23/6,Nej
Johannes Döparens dag,24/6,Ja
David,25/6,Ja
Salomon,25/6,Ja
Davida,25/6,Nej
Rakel,26/6,Ja
Lea,26/6,Ja
Selma,27/6,Ja
Fingal,27/6,Ja
Leo,28/6,Ja
Leon,28/6,Nej
Peter,29/6,Ja
Petra,29/6,Ja
Peder,29/6,Nej
Pedro,29/6,Nej
Pekka,29/6,Nej
Petri,29/6,Nej
Petrus,29/6,Nej
Pierre,29/6,Nej
Pieter,29/6,Nej
Piotr,29/6,Nej
Petter,29/6,Nej
Elof,30/6,Ja
Leif,30/6,Ja
Elf,30/6,Nej
Aron,1/7,Ja
Mirjam,1/7,Ja
Mirja,1/7,Nej
Rosa,2/7,Ja
Rosita,2/7,Ja
Rosalie,2/7,Nej
Rosi,2/7,Nej
Rosie,2/7,Nej
Rosina,2/7,Nej
Rosine,2/7,Nej
Aurora,3/7,Ja
Aura,3/7,Nej
Aurore,3/7,Nej
Ulrika,4/7,Ja
Ulla,4/7,Ja
Rika,4/7,Nej
Ulrike,4/7,Nej
Laila,5/7,Ja
Ritva,5/7,Ja
Aila,5/7,Nej
Aili,5/7,Nej
Esaias,6/7,Ja
Jessika,6/7,Ja
Esa,6/7,Nej
Esse,6/7,Nej
Klas,7/7,Ja
Claes,7/7,Nej
Claus,7/7,Nej
Klaus,7/7,Nej
Kjell,8/7,Ja
Kettil,8/7,Nej
Jörgen,9/7,Ja
Örjan,9/7,Ja
Jürgen,9/7,Nej
Jörn,9/7,Nej
André,10/7,Ja
Andrea,10/7,Ja
Andrietta,10/7,Nej
Eleonora,11/7,Ja
Ellinor,11/7,Ja
Eleanor,11/7,Nej
Eleonore,11/7,Nej
Elli,11/7,Nej
Elly,11/7,Nej
Leonor,11/7,Nej
Leonora,11/7,Nej
Nellie,11/7,Nej
Nelly,11/7,Nej
Nora,11/7,Nej
Leonore,11/7,Nej
Herman,12/7,Ja
Hermine,12/7,Ja
Hermina,12/7,Nej
Joel,13/7,Ja
Judit,13/7,Ja
Jutta,13/7,Nej
Jytte,13/7,Nej
Folke,14/7,Ja
